departure time,arrival time,date change,departure airport,arrival airport,price,airline,distinct airline count,stop airport,stop count,overhead bin access,day
15:00,17:10,0,YYZ,YVR,227,F8,1,,0,0,1
22:45,00:52,1,YYZ,YVR,287,"PD, TS",2,,0,0,1
07:40,09:50,0,YYZ,YVR,297,F8,1,,0,0,1
22:25,00:40,1,YYZ,YVR,313,WS,1,,0,0,1
06:30,08:20,0,YYZ,YVR,337,AC,1,,0,1,1
18:30,09:46,1,YYZ,YVR,372,WS,1,YHZ,1,0,1
14:45,21:25,0,YTZ,YVR,428,PD(Inc),1,YUL,1,0,1
16:45,21:25,0,YTZ,YVR,428,PD(Inc),1,YUL,1,0,1
08:10,14:12,0,YYZ,YVR,432,"AC(Rouge), AC(Jazz)",2,YQR,1,1,1
16:35,21:19,0,YYZ,YVR,433,"AC(Rouge), AC(Jazz)",2,YXE,1,1,1
07:00,09:07,0,YYZ,YVR,435,"PD, TS",2,,0,0,1
16:35,21:25,0,YYZ,YVR,435,PD,1,YUL,1,0,1
16:35,06:43,1,YYZ,YVR,462,"AC(Rouge), AC(Jazz)",2,YXE,1,1,1
15:20,09:46,1,YYZ,YVR,464,WS,1,YHZ,1,0,1
21:45,11:05,1,YYZ,YVR,466,WS,1,"YXE, YYC",2,0,1
21:45,11:05,1,YYZ,YVR,466,WS,1,"YXE, YYC",2,0,1
21:45,11:35,1,YYZ,YVR,466,WS,1,"YXE, YYC",2,0,1
21:45,11:35,1,YYZ,YVR,466,WS,1,"YXE, YYC",2,0,1
21:45,11:56,1,YYZ,YVR,466,WS,1,YXE,1,0,1
21:45,16:36,1,YYZ,YVR,466,WS,1,YXE,1,0,1
09:15,20:30,0,YYZ,YVR,470,AC(Jazz),1,YLW,1,1,1
09:15,21:30,0,YYZ,YVR,470,AC(Jazz),1,YLW,1,1,1
20:10,08:43,1,YYZ,YVR,470,"AC(Rouge), AC(Jazz)",2,YYJ,1,1,1
08:10,19:12,0,YYZ,YVR,475,"AC(Rouge), AC(Jazz)",2,YQR,1,1,1
20:20,09:58,1,YTZ,YVR,483,AC(Jazz),1,YUL,1,1,1
22:30,07:00,1,YYZ,YVR,483,AC,1,YWG,1,1,1
22:30,07:33,1,YYZ,YVR,483,AC,1,"YWG, YYC",2,1,1
12:30,21:25,0,YTZ,YVR,485,PD(Inc),1,YUL,1,0,1
23:30,09:58,1,YYZ,YVR,489,AC,1,YUL,1,1,1
07:20,11:15,0,YTZ,YVR,496,PD(Inc),1,YOW,1,1,1
07:00,11:15,0,YYZ,YVR,503,PD,1,YOW,1,1,1
07:45,09:52,0,YYZ,YVR,503,AC,1,,0,1,1
